date,nav
2022-01-03,67.3887
2022-01-04,67.07556
2022-01-05,67.03684000000001
2022-01-06,66.89036
2022-01-07,66.65166
2022-01-10,68.16494
2022-01-11,68.97898
2022-01-12,68.78353999999999
2022-01-13,68.92624
2022-01-14,69.10316
2022-01-17,69.50632
2022-01-18,70.68478
2022-01-19,70.84306000000001
2022-01-20,71.40052
2022-01-21,71.57802000000001
2022-01-24,71.11572
2022-01-25,71.402
2022-01-26,71.539
2022-01-27,71.2762
2022-01-28,70.87172000000001
2022-01-31,70.7595
2022-02-01,71.20508
2022-02-02,71.35585999999999
2022-02-03,71.67856
2022-02-04,71.41552
2022-02-07,71.08714
2022-02-08,71.32372000000001
2022-02-09,71.31516
2022-02-10,71.55398
2022-02-11,72.30316
2022-02-14,72.26505999999999
2022-02-15,71.86912
2022-02-16,71.55467999999999
2022-02-17,71.68321999999999
2022-02-18,71.77047999999999
2022-02-21,71.58000000000001
2022-02-22,72.45106
2022-02-23,72.89392000000001
2022-02-24,72.6634
2022-02-25,72.09692
2022-02-28,72.42052
2022-03-01,73.12062
2022-03-02,73.30909999999999
2022-03-03,73.23044
2022-03-04,72.84549999999999
2022-03-07,73.67834
2022-03-08,73.65758
2022-03-09,73.12613999999999
2022-03-10,72.89556
2022-03-11,72.36337999999999
2022-03-14,72.90549999999999
2022-03-15,72.82702
2022-03-16,72.81854000000001
2022-03-17,72.31458
2022-03-18,72.59424
2022-03-21,72.22852
2022-03-22,72.16532
2022-03-23,72.1516
2022-03-24,71.6189
2022-03-25,71.3801
2022-03-28,71.60614000000001
2022-03-29,70.77346
2022-03-30,70.89792
2022-03-31,70.59106
2022-04-01,70.54787999999999
2022-04-04,71.37446
2022-04-05,71.33274
2022-04-06,70.73526
2022-04-07,70.74096
2022-04-08,70.41846000000001
2022-04-11,70.22086
2022-04-12,69.39594
2022-04-13,68.98938000000001
2022-04-14,69.64385999999999
2022-04-15,69.90317999999999
2022-04-18,70.12487999999999
2022-04-19,69.86792
2022-04-20,70.11032
2022-04-21,69.5668
2022-04-22,69.21486
2022-04-25,68.96466000000001
2022-04-26,69.28386
2022-04-27,69.637
2022-04-28,69.39793999999999
2022-04-29,70.05794
2022-05-02,70.29992
2022-05-03,70.63108
2022-05-04,69.6069
2022-05-05,69.56212000000001
2022-05-06,70.00602
2022-05-09,69.68226
2022-05-10,69.6922
2022-05-11,69.90603999999999
2022-05-12,69.29942
2022-05-13,69.64869999999999
2022-05-16,68.86446
2022-05-17,68.77032
2022-05-18,69.11584
2022-05-19,69.03716
2022-05-20,69.08764
2022-05-23,68.8068
2022-05-24,68.49992
2022-05-25,68.27494
2022-05-26,68.7465
2022-05-27,68.48642
2022-05-30,68.90628000000001
2022-05-31,68.70322
2022-06-01,69.31190000000001
2022-06-02,69.78328
2022-06-03,69.23948
2022-06-06,69.72938
2022-06-07,70.33887999999999
2022-06-08,69.24428
2022-06-09,69.2115
2022-06-10,70.05807999999999
2022-06-13,70.10096
2022-06-14,70.41998
2022-06-15,70.82194000000001
2022-06-16,71.31876
2022-06-17,71.16826
2022-06-20,71.39252
2022-06-21,72.47496
2022-06-22,73.1214
2022-06-23,72.73872
2022-06-24,71.88253999999999
2022-06-27,72.04212
2022-06-28,72.03332
2022-06-29,71.90666
2022-06-30,71.83615999999999
2022-07-01,71.48042000000001
2022-07-04,72.41504
2022-07-05,72.61326
2022-07-06,73.40326
2022-07-07,72.7073
2022-07-08,72.75658
2022-07-11,72.00006
2022-07-12,72.22792
2022-07-13,71.86938
2022-07-14,71.95288000000001
2022-07-15,71.64392000000001
2022-07-18,72.84428
2022-07-19,73.82052
2022-07-20,74.43802
2022-07-21,73.95356000000001
2022-07-22,74.18626
2022-07-25,75.00196
2022-07-26,74.92148
2022-07-27,75.48992
2022-07-28,75.2601
2022-07-29,75.00268000000001
2022-08-01,74.15562
2022-08-02,73.87928
2022-08-03,74.28869999999999
2022-08-04,74.23006000000001
2022-08-05,74.62075999999999
2022-08-08,74.63468
2022-08-09,74.4434
2022-08-10,74.95313999999999
2022-08-11,74.94596
2022-08-12,74.84434
2022-08-15,75.05192
2022-08-16,75.57238
2022-08-17,76.04846
2022-08-18,76.6477
2022-08-19,77.35364
2022-08-22,78.02438
2022-08-23,77.40602
2022-08-24,77.31754
2022-08-25,78.4388
2022-08-26,78.65536
2022-08-29,78.04684
2022-08-30,79.20678000000001
2022-08-31,78.6876
2022-09-01,78.22038
2022-09-02,79.19446
2022-09-05,79.1699
2022-09-06,78.6348
2022-09-07,79.43526
2022-09-08,78.47198
2022-09-09,78.21252
2022-09-12,78.7154
2022-09-13,78.97193999999999
2022-09-14,79.6845
2022-09-15,79.68054
2022-09-16,79.8303
2022-09-19,80.61142
2022-09-20,80.48888
2022-09-21,80.93778
2022-09-22,81.24906
2022-09-23,80.4088
2022-09-26,80.13068
2022-09-27,80.34366
2022-09-28,79.69684
2022-09-29,79.88562
2022-09-30,79.33554000000001
2022-10-03,79.43198
2022-10-04,79.46986
2022-10-05,79.58366
2022-10-06,80.42778
2022-10-07,80.45476
2022-10-10,81.14578
2022-10-11,82.31956
2022-10-12,82.29944
2022-10-13,81.8782
2022-10-14,81.50228
2022-10-17,81.64986
2022-10-18,82.66076000000001
2022-10-19,82.52582
2022-10-20,82.00276
2022-10-21,82.412
2022-10-24,82.58422
2022-10-25,82.43742
2022-10-26,82.4674
2022-10-27,82.83552
2022-10-28,83.79048
2022-10-31,83.34052
2022-11-01,83.77441999999999
2022-11-02,82.9659
2022-11-03,82.58722
2022-11-04,82.10162
2022-11-07,82.02612
2022-11-08,83.67366000000001
2022-11-09,83.38284
2022-11-10,83.5186
2022-11-11,83.52202
2022-11-14,83.99478
2022-11-15,84.36976
2022-11-16,84.29400000000001
2022-11-17,85.31804
2022-11-18,85.02792000000001
2022-11-21,84.97028
2022-11-22,84.63012
2022-11-23,84.8807
2022-11-24,84.546
2022-11-25,84.773
2022-11-28,84.3735
2022-11-29,85.47282
2022-11-30,86.29558
2022-12-01,86.72558000000001
2022-12-02,86.83234
2022-12-05,86.74882
2022-12-06,86.43093999999999
2022-12-07,87.18982000000001
2022-12-08,87.97992
2022-12-09,89.38014000000001
2022-12-12,89.40312
2022-12-13,89.08288
2022-12-14,89.18254
2022-12-15,89.83994
2022-12-16,90.83346
2022-12-19,90.78066
2022-12-20,90.77398000000001
2022-12-21,91.76588
2022-12-22,91.51638
2022-12-23,91.37944
2022-12-26,91.84528
2022-12-27,91.07454
2022-12-28,91.97508
2022-12-29,92.18892
2022-12-30,92.7266
2023-01-02,91.72532
2023-01-03,91.34574
2023-01-04,91.35304000000001
2023-01-05,90.02592
2023-01-06,90.73024000000001
2023-01-09,89.94596
2023-01-10,91.27642
2023-01-11,92.80766
2023-01-12,92.93074
2023-01-13,93.10911999999999
2023-01-16,93.44032
2023-01-17,94.08138
2023-01-18,92.89062
2023-01-19,92.19176
2023-01-20,92.3862
2023-01-23,92.42204000000001
2023-01-24,92.99936
2023-01-25,94.21128
2023-01-26,93.22476
2023-01-27,93.0222
2023-01-30,93.7005
2023-01-31,93.51052
2023-02-01,92.9914
2023-02-02,93.88234
2023-02-03,94.82813999999999
2023-02-06,94.80318
2023-02-07,94.10738
2023-02-08,94.04096
2023-02-09,94.00936
2023-02-10,93.69257999999999
2023-02-13,93.97944
2023-02-14,93.81236
2023-02-15,93.95424
2023-02-16,94.25916
2023-02-17,94.54588000000001
2023-02-20,93.72052
2023-02-21,92.45326
2023-02-22,92.87478
2023-02-23,93.91646
2023-02-24,93.32292
2023-02-27,92.6466
2023-02-28,93.09986
2023-03-01,93.88404
2023-03-02,93.07912
2023-03-03,92.24066
2023-03-06,91.56497999999999
2023-03-07,91.42639999999999
2023-03-08,92.14372
2023-03-09,92.63329999999999
2023-03-10,93.03004
2023-03-13,93.72898
2023-03-14,93.29662
2023-03-15,93.12528
2023-03-16,93.58144
2023-03-17,94.2584
2023-03-20,94.18632
2023-03-21,93.69731999999999
2023-03-22,94.01476
2023-03-23,94.49986
2023-03-24,94.54838
2023-03-27,95.39674
2023-03-28,95.47124
2023-03-29,95.25528
2023-03-30,95.47200000000001
2023-03-31,94.527
2023-04-03,94.9547
2023-04-04,95.05108
2023-04-05,94.90644
2023-04-06,94.11802
2023-04-07,93.30782
2023-04-10,93.64406
2023-04-11,93.51295999999999
2023-04-12,92.97049999999999
2023-04-13,93.00550000000001
2023-04-14,94.10654
2023-04-17,94.50992
2023-04-18,94.77892
2023-04-19,94.69036
2023-04-20,94.40364
2023-04-21,95.48599999999999
2023-04-24,97.01558
2023-04-25,96.8847
2023-04-26,96.02934
2023-04-27,95.2789
2023-04-28,94.76926
2023-05-01,94.77526
2023-05-02,94.44898
2023-05-03,94.90034
2023-05-04,94.3022
2023-05-05,94.61890000000001
2023-05-08,93.57742
2023-05-09,94.05114
2023-05-10,93.71248
2023-05-11,94.19449999999999
2023-05-12,94.011
2023-05-15,95.16376
2023-05-16,94.68733999999999
2023-05-17,94.89718
2023-05-18,95.32852
2023-05-19,96.01932000000001
2023-05-22,95.2936
2023-05-23,95.31479999999999
